Gene ID,TOOL,PRODUCT
protein_cluster_2473,,hypothetical protein
protein_cluster_2474,,hypothetical protein
protein_cluster_2475,PFAM,OmpA/MotB domain protein
protein_cluster_2476,,hypothetical protein
protein_cluster_2477,,hypothetical protein
protein_cluster_2478,,hypothetical protein
protein_cluster_2479,PFAM,capsid scaffolding
protein_cluster_248,PFAM,DegT/DnrJ/EryC1/StrS aminotransferase
protein_cluster_2480,TIGR,"type VI secretion protein, VC_A0114 family"
protein_cluster_2481,PFAM,Transketolase domain-containing protein
protein_cluster_2482,,hypothetical protein
protein_cluster_2483,TIGR,1-phosphofructokinase
protein_cluster_2484,PFAM,DinI family protein
protein_cluster_2485,TIGR,Sua5/YciO/YrdC/YwlC family protein
protein_cluster_2486,,hypothetical protein
protein_cluster_2487,TIGR,"threonine dehydratase, biosynthetic"
protein_cluster_2488,PFAM,YebG family protein
protein_cluster_2489,,hypothetical protein
protein_cluster_249,,hypothetical protein
protein_cluster_2490,,hypothetical protein
protein_cluster_2491,PFAM,DinI family protein
protein_cluster_2492,HAMAP,Fumarate hydratase class II
protein_cluster_2493,TIGR,pyruvate ferredoxin/flavodoxin oxidoreductase
protein_cluster_2494,PFAM,GCN5-related N-acetyltransferase
protein_cluster_2495,,hypothetical protein
protein_cluster_2496,PFAM,Antirestriction ArdA family protein
protein_cluster_2497,PFAM,TraYfamily protein
protein_cluster_2498,PFAM,protein of unknown function DUF1353
protein_cluster_2499,TIGR,"dTDP-glucose 4,6-dehydratase"
protein_cluster_25,,hypothetical protein
protein_cluster_250,PFAM,protein of unknown function DUF1353
protein_cluster_2500,,hypothetical protein
protein_cluster_2501,PFAM,type III effector Hrp-dependent outer protein
protein_cluster_2502,PFAM,D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein
protein_cluster_2503,,hypothetical protein
protein_cluster_2504,TIGR,periplasmic serine protease DegS
protein_cluster_2505,PFAM,protein of unknown function DUF1471
protein_cluster_2506,PFAM,capsid scaffolding
protein_cluster_2507,PFAM,protein of unknown function DUF541
protein_cluster_2508,HAMAP,Flagellar protein fliT
protein_cluster_2509,HAMAP,30S ribosomal protein S21
protein_cluster_251,PFAM,protein of unknown function DUF333
protein_cluster_2510,,hypothetical protein
protein_cluster_2511,,hypothetical protein
protein_cluster_2512,PFAM,Protein of unknown function DUF2566
protein_cluster_2513,,hypothetical protein
protein_cluster_2514,PFAM,LysR substrate-binding protein
protein_cluster_2515,PFAM,Mor transcription activator domain protein
protein_cluster_2516,HAMAP,Septum formation protein Maf
protein_cluster_2517,,hypothetical protein
protein_cluster_2518,PFAM,helix-turn-helix protein RpiR
protein_cluster_2519,TIGR,transcription-repair coupling factor
protein_cluster_252,PFAM,oxidoreductase domain protein
protein_cluster_2520,PFAM,transposase IS3/IS911 family protein
protein_cluster_2521,PFAM,helicase domain-containing protein
protein_cluster_2522,,hypothetical protein
protein_cluster_2523,,hypothetical protein
protein_cluster_2524,,hypothetical protein
protein_cluster_2525,,hypothetical protein
protein_cluster_2526,,hypothetical protein
protein_cluster_2527,HAMAP,3-isopropylmalate dehydratase large subunit
protein_cluster_2528,PFAM,"Peptidase S24/S26A/S26B, conserved region"
protein_cluster_2529,TIGR,flagellar motor stator protein MotA
protein_cluster_253,,hypothetical protein
protein_cluster_2530,PFAM,"Phage P4, Ash protein"
protein_cluster_2531,PFAM,NADH dehydrogenase (ubiquinone) 24 kDa subunit
protein_cluster_2532,HAMAP,Small heat shock protein ibpA
protein_cluster_2533,,hypothetical protein
protein_cluster_2534,,hypothetical protein
protein_cluster_2535,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_2536,PFAM,phosphoesterase PA-phosphatase related protein
protein_cluster_2537,TIGR,anaerobic ribonucleoside-triphosphate reductase activating protein
protein_cluster_2538,PFAM,response regulator receiver
protein_cluster_2539,TIGR,cob(I)alamin adenosyltransferase
protein_cluster_254,PFAM,protein of unknown function DUF1439
protein_cluster_2540,PFAM,PTS system Galactitol-specific IIC component
protein_cluster_2541,PFAM,microcompartments protein
protein_cluster_2542,TIGR,"phage tail tape measure protein, TP901 family"
protein_cluster_2543,PFAM,cytochrome c biogenesis protein transmembrane region
protein_cluster_2544,TIGR,"lipoprotein releasing system, ATP-binding protein"
protein_cluster_2545,,hypothetical protein
protein_cluster_2546,PFAM,"CagE, TrbE, VirB component of type IV transporter system, conserved region"
protein_cluster_2547,,hypothetical protein
protein_cluster_2548,TIGR,ribosomal protein L30
protein_cluster_2549,PFAM,adenylate cyclase
protein_cluster_255,PFAM,PAAR repeat-containing protein
protein_cluster_2550,HAMAP,Potassium-transporting ATPase A chain
protein_cluster_2551,PFAM,protein of unknown function DUF1615
protein_cluster_2552,PFAM,TraG domain-containing protein
protein_cluster_2553,,hypothetical protein
protein_cluster_2554,PFAM,surface antigen (D15)
protein_cluster_2555,PFAM,polysaccharide biosynthesis protein
protein_cluster_2556,,hypothetical protein
protein_cluster_2557,PFAM,restriction endonuclease
protein_cluster_2558,HAMAP,UPF0259 membrane protein yciC
protein_cluster_2559,,hypothetical protein
protein_cluster_256,PFAM,helix-turn-helix domain protein
protein_cluster_2560,PFAM,TonB-dependent receptor
protein_cluster_2561,PFAM,endodeoxyribonuclease RusA
protein_cluster_2562,,hypothetical protein
protein_cluster_2563,HAMAP,N-acetylneuraminate lyase
protein_cluster_2564,PFAM,metallophosphoesterase
protein_cluster_2565,,hypothetical protein
protein_cluster_2566,PFAM,protein of unknown function DUF333
protein_cluster_2567,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_2568,,hypothetical protein
protein_cluster_2569,PFAM,protein of unknown function DUF905
protein_cluster_257,PFAM,GPW/gp25 family protein
protein_cluster_2570,,hypothetical protein
protein_cluster_2571,PFAM,tail assembly chaperone gp38
protein_cluster_2572,,hypothetical protein
protein_cluster_2573,HAMAP,UPF0299 membrane protein yohJ
protein_cluster_2574,,hypothetical protein
protein_cluster_2575,PFAM,protein of unknown function DUF861 cupin 3
protein_cluster_2576,HAMAP,Chorismate synthase
protein_cluster_2577,HAMAP,UPF0225 protein ychJ
protein_cluster_2578,,hypothetical protein
protein_cluster_2579,TIGR,phage shock protein A
protein_cluster_258,PFAM,Conjugal transfer TraD family protein
protein_cluster_2580,,hypothetical protein
protein_cluster_2581,,hypothetical protein
protein_cluster_2582,,hypothetical protein
protein_cluster_2583,,hypothetical protein
protein_cluster_2584,,hypothetical protein
protein_cluster_2585,,hypothetical protein
protein_cluster_2586,,hypothetical protein
protein_cluster_2587,PFAM,protein of unknown function DUF796
protein_cluster_2588,,hypothetical protein
protein_cluster_2589,,hypothetical protein
protein_cluster_259,PFAM,superoxide dismutase copper/zinc binding protein
protein_cluster_2590,PFAM,TROVE domain-containing protein
protein_cluster_2591,TIGR,2'-5' RNA ligase
protein_cluster_2592,PFAM,glutathionylspermidine synthase
protein_cluster_2593,,hypothetical protein
protein_cluster_2594,,hypothetical protein
protein_cluster_2595,TIGR,"citrate lyase, alpha subunit"
protein_cluster_2596,TIGR,"glyceraldehyde-3-phosphate dehydrogenase, type I"
protein_cluster_2597,PFAM,Replication endonuclease
protein_cluster_2598,HAMAP,Shikimate kinase
protein_cluster_2599,,hypothetical protein
protein_cluster_26,,hypothetical protein
protein_cluster_260,,hypothetical protein
protein_cluster_2600,,hypothetical protein
protein_cluster_2601,PFAM,microcompartments protein
protein_cluster_2602,HAMAP,Secretion monitor
protein_cluster_2603,,hypothetical protein
protein_cluster_2604,TIGR,4-alpha-glucanotransferase
protein_cluster_2605,HAMAP,50S ribosomal protein L33
protein_cluster_2606,,hypothetical protein
protein_cluster_2607,PFAM,SNARE associated protein
protein_cluster_2608,,hypothetical protein
protein_cluster_2609,,hypothetical protein
protein_cluster_261,,hypothetical protein
protein_cluster_2610,HAMAP,Inosose dehydratase
protein_cluster_2611,TIGR,inosine-5'-monophosphate dehydrogenase
protein_cluster_2612,,hypothetical protein
protein_cluster_2613,PFAM,GtrA family protein
protein_cluster_2614,TIGR,protein TolA
protein_cluster_2615,HAMAP,Ribosomal RNA large subunit methyltransferase F
protein_cluster_2616,HAMAP,Electron transport complex protein rnfG
protein_cluster_2617,,hypothetical protein
protein_cluster_2618,TIGR,flagellar biosynthetic protein FliQ
protein_cluster_2619,HAMAP,Protein ApaG
protein_cluster_262,TIGR,phosphomethylpyrimidine kinase
protein_cluster_2620,PFAM,Resolvase  domain-containing protein
protein_cluster_2621,HAMAP,HTH-type transcriptional activator rhaR
protein_cluster_2622,PFAM,Peptidase M23
protein_cluster_2623,,hypothetical protein
protein_cluster_2624,,hypothetical protein
protein_cluster_2625,TIGR,formate acetyltransferase
protein_cluster_2626,,hypothetical protein
protein_cluster_2627,HAMAP,UPF0208 membrane protein yfbV
protein_cluster_2628,PFAM,regulatory protein LuxR
protein_cluster_2629,PFAM,Fimbrial protein
protein_cluster_263,HAMAP,Dihydrodipicolinate reductase
protein_cluster_2630,PFAM,Autotransporter beta- domain protein
protein_cluster_2631,,hypothetical protein
protein_cluster_2632,PFAM,LysR substrate-binding protein
protein_cluster_2633,,hypothetical protein
protein_cluster_2634,TIGR,"integrating conjugative element protein, PFL_4703 family"
protein_cluster_2635,HAMAP,Transcriptional regulator slyA
protein_cluster_2636,PFAM,RNA-binding protein AU-1/Ribonuclease E/G
protein_cluster_2637,,hypothetical protein
protein_cluster_2638,PFAM,monooxygenase FAD-binding protein
protein_cluster_2639,PFAM,glycosyl hydrolase family 88
protein_cluster_264,,hypothetical protein
protein_cluster_2640,,hypothetical protein
protein_cluster_2641,HAMAP,Manganese transport protein mntH
protein_cluster_2642,PFAM,glycerophosphoryl diester phosphodiesterase
protein_cluster_2643,PFAM,Radical SAM domain protein
protein_cluster_2644,,hypothetical protein
protein_cluster_2645,,hypothetical protein
protein_cluster_2646,PFAM,ABC transporter related protein
protein_cluster_2647,PFAM,protein of unknown function DUF306 Meta and HslJ
protein_cluster_2648,,hypothetical protein
protein_cluster_2649,,hypothetical protein
protein_cluster_265,,hypothetical protein
protein_cluster_2650,PFAM,phosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 2
protein_cluster_2651,,hypothetical protein
protein_cluster_2652,PFAM,Tryptophan/tyrosine permease
protein_cluster_2653,HAMAP,Lipoate-protein ligase A
protein_cluster_2654,,hypothetical protein
protein_cluster_2655,HAMAP,Cell division protein ftsB-like protein
protein_cluster_2656,TIGR,hydroxypyruvate isomerase
protein_cluster_2657,,hypothetical protein
protein_cluster_2658,TIGR,type IV pilus biogenesis protein PilP
protein_cluster_2659,,hypothetical protein
protein_cluster_266,,hypothetical protein
protein_cluster_2660,HAMAP,Endonuclease V
protein_cluster_2661,,hypothetical protein
protein_cluster_2662,,hypothetical protein
protein_cluster_2663,,hypothetical protein
protein_cluster_2664,PFAM,major facilitator superfamily MFS_1
protein_cluster_2665,PFAM,Resolvase  domain-containing protein
protein_cluster_2666,HAMAP,CrcB-like protein
protein_cluster_2667,PFAM,Aldehyde Dehydrogenase
protein_cluster_2668,PFAM,Lysine exporter protein (LYSE/YGGA)
protein_cluster_2669,PFAM,"Helix-turn-helix, AraC domain-containing protein"
protein_cluster_267,PFAM,ErfK/YbiS/YcfS/YnhG family protein
protein_cluster_2670,PFAM,major facilitator superfamily MFS_1
protein_cluster_2671,,hypothetical protein
protein_cluster_2672,,hypothetical protein
protein_cluster_2673,,hypothetical protein
protein_cluster_2674,PFAM,fimbrial biogenesis outer membrane usher protein
protein_cluster_2675,HAMAP,Carboxylate-amine ligase ybdK
protein_cluster_2676,PFAM,CinA domain protein
protein_cluster_2677,HAMAP, endonuclease 4
protein_cluster_2678,PFAM,RNA-directed DNA polymerase (Reverse transcriptase)
protein_cluster_2679,HAMAP,Aspartate 1-decarboxylase
protein_cluster_268,,hypothetical protein
protein_cluster_2680,,hypothetical protein
protein_cluster_2681,HAMAP,Glutamate 5-kinase
protein_cluster_2682,HAMAP,Cytochrome c-type biogenesis protein ccmE
protein_cluster_2683,PFAM,Curlin associated repeat-containing protein
protein_cluster_2684,,hypothetical protein
protein_cluster_2685,TIGR,PTS IIA-like nitrogen-regulatory protein PtsN
protein_cluster_2686,HAMAP,Sugar fermentation stimulation protein A
protein_cluster_2687,TIGR,ribosomal protein S15
protein_cluster_2688,,hypothetical protein
protein_cluster_2689,,hypothetical protein
protein_cluster_269,PFAM,integrase family protein
protein_cluster_2690,,hypothetical protein
protein_cluster_2691,PFAM,glycosyl transferase group 1
protein_cluster_2692,,hypothetical protein
protein_cluster_2693,PFAM,Transcription regulator CaiF
protein_cluster_2694,PFAM,Baseplate J family protein
protein_cluster_2695,PFAM,Protein of unknown function DUF695
protein_cluster_2696,,hypothetical protein
protein_cluster_2697,HAMAP,ADP-L-glycero-D-manno-heptose-6-epimerase
protein_cluster_2698,,hypothetical protein
protein_cluster_2699,PFAM,short-chain dehydrogenase/reductase SDR
protein_cluster_27,,hypothetical protein
protein_cluster_270,PFAM,surface antigen (D15)
protein_cluster_2700,PFAM,ThiJ/PfpI domain-containing protein
protein_cluster_2701,,hypothetical protein
protein_cluster_2702,PFAM,IstB domain protein ATP-binding protein
protein_cluster_2703,HAMAP,D-alanine--D-alanine ligase
protein_cluster_2704,PFAM,YaeQ family protein
protein_cluster_2705,PFAM,protein of unknown function DUF551
protein_cluster_2706,,hypothetical protein
protein_cluster_2707,,hypothetical protein
protein_cluster_2708,PFAM,D-lactate dehydrogenase membrane binding protein
protein_cluster_2709,PFAM,Citrate transporter
protein_cluster_271,PFAM,molybdopterin oxidoreductase
protein_cluster_2710,HAMAP,2-keto-3-deoxygluconate permease
protein_cluster_2711,PFAM,Protein of unknown function DUF2170
protein_cluster_2712,,hypothetical protein
protein_cluster_2713,,hypothetical protein
protein_cluster_2714,,hypothetical protein
protein_cluster_2715,HAMAP,Beta-hexosaminidase
protein_cluster_2716,,hypothetical protein
protein_cluster_2717,,hypothetical protein
protein_cluster_2718,,hypothetical protein
protein_cluster_2719,,hypothetical protein
protein_cluster_272,PFAM,copper resistance lipoprotein NlpE
protein_cluster_2720,PFAM,short-chain dehydrogenase/reductase SDR
protein_cluster_2721,PFAM,terminase ATPase subunit
protein_cluster_2722,,hypothetical protein
protein_cluster_2723,,hypothetical protein
protein_cluster_2724,PFAM,transposase IS3/IS911 family protein
protein_cluster_2725,,hypothetical protein
protein_cluster_2726,TIGR,CRISPR-associated helicase Cas3
protein_cluster_2727,TIGR,arsenical-resistance protein
protein_cluster_2728,,hypothetical protein
protein_cluster_2729,,hypothetical protein
protein_cluster_273,HAMAP,Cytidine deaminase
protein_cluster_2730,PFAM,cell wall hydrolase/autolysin
protein_cluster_2731,TIGR,thiamine biosynthesis protein ThiS
protein_cluster_2732,,hypothetical protein
protein_cluster_2733,,hypothetical protein
protein_cluster_2734,TIGR,hydrogenase expression/formation protein
protein_cluster_2735,,hypothetical protein
protein_cluster_2736,PFAM,Lambda NinG family protein
protein_cluster_2737,,hypothetical protein
protein_cluster_2738,TIGR,"phosphate ABC transporter, periplasmic phosphate-binding protein"
protein_cluster_2739,TIGR,DNA internalization-related competence protein ComEC/Rec2
protein_cluster_274,,hypothetical protein
protein_cluster_2740,,hypothetical protein
protein_cluster_2741,,hypothetical protein
